km_start,km_end,typ_trav,typ_rail,qualite_acier,rayon,groupe,element_standard,frequence,reserve_usure_min,annee
90.222184,90.268434,Acier (bêches longues),46 E1,R 350 HT,150.0,2,31342211,0.075,,
90.206884,90.26894,Acier (bêches longues),46 E1,R 350 HT,130.0,3,31342211,0.075,,
90.240384,90.26894,Acier (bêches longues),46 E1,R 350 HT,150.0,4,31342211,0.075,0.024864999999999998,4.144166666666666
90.26894,90.28894,Bois,46 E1,R 260,130.0,3,31332111,0.133,,
90.26894,90.269134,Bois,46 E1,R 260,150.0,4,31332111,0.133,0.024864999999999998,2.3369360902255636
90.28894,90.289434,Bois,46 E1,R 260,130.0,3,31332111,0.133,,
90.371941,90.434441,Acier (bêches longues),46 E1,R 260,398.0,5,31242111,0.0,0.024892499499999998,inf
90.597691,90.664441,Acier (bêches longues),46 E1,R 260,325.0,6,31242111,0.0,0.027885000000000007,inf
90.767441,90.937941,Acier (bêches longues),46 E1,R 260,100.0,7,31442111,0.2,-0.06436499999999999,0.0
90.990191,91.165191,Acier (bêches longues),46 E1,R 260,150.0,8,31342111,0.1,-0.06543600000000001,0.0
91.382941,91.454691,Acier (bêches longues),46 E1,R 260,378.0,9,31242111,0.0,0.027038000000000006,inf
91.830941,91.894691,Acier (bêches longues),46 E1,R 260,410.0,10,31242111,0.0,0.012122000000000008,inf
92.057941,92.148941,Acier (bêches longues),46 E1,R 260,290.0,11,31342111,0.1,0.021754999500000004,2.7193749375000005
92.205691,92.280441,Acier (bêches longues),46 E1,R 260,169.0,12,31342111,0.1,-0.02234499999999999,0.0
92.355691,92.422691,Acier (bêches longues),46 E1,R 260,288.0,13,31342111,0.1,0.020111500500000004,2.5139375625000007
92.521441,92.579191,Acier (bêches longues),46 E1,R 260,192.0,14,31342111,0.1,0.01901,2.3762499999999998
92.633441,92.758441,Acier (bêches longues),46 E1,R 260,146.0,15,31342111,0.1,0.0195934995,2.4491874375
92.893691,92.91942,Acier (bêches longues),46 E1,R 260,96.0,16,31442111,0.2,-0.002033999999999994,0.0
92.91942,92.920941,Acier (bêches longues),46 E1,R 350 HT,96.0,16,31442211,0.1,-0.002033999999999994,0.0
92.920941,92.942441,Acier (bêches longues),46 E1,R 350 HT,204.0,17,31342211,0.075,0.008667999499999995,1.4446665833333325
92.942441,92.994191,Acier (bêches longues),46 E1,R 350 HT,90.0,18,31442211,0.1,-0.018323999999999993,0.0
92.994191,93.071691,Acier (bêches longues),46 E1,R 350 HT,250.0,19,31342211,0.075,-0.002248499499999987,0.0
93.134441,93.196441,Acier (bêches longues),46 E1,R 350 HT,230.0,20,31342211,0.075,0.023984500000000006,3.9974166666666675
