Linie,groupe,Median_10_100_l,Mean_10_100_l,Skewness_10_100_l,Kurtosis_10_100_l,Median_10_100_r,Mean_10_100_r,Skewness_10_100_r,Kurtosis_10_100_r,Median_30_300_l,Mean_30_300_l,Skewness_30_300_l,Kurtosis_30_300_l,Median_30_300_r,Mean_30_300_r,Skewness_30_300_r,Kurtosis_30_300_r,Median_300_1000_l,Mean_300_1000_l,Skewness_300_1000_l,Kurtosis_300_1000_l,Median_300_1000_r,Mean_300_1000_r,Skewness_300_1000_r,Kurtosis_300_1000_r,km_debut,km_fin,rayon,length,max_l,max_r,cause_max_r,cause_max_l,max,reserve_usure_l,reserve_usure_r,reserve_usure_min
Palezieux - Chatel-St-Denis,1,0.084259,0.0863296511632653,0.4103663817110859,0.12941467046383215,0.049340000999999994,0.05048070871428572,0.18447989351378907,-0.2908546667839129,0.11029900000000001,0.1097568459424861,0.011255493175583556,0.5928356404601693,0.070637,0.07147660298330241,0.0014341953688752575,0.36505720444699197,0.020501001,0.022876703142857144,1.526648969554551,1.848226316332127,0.023987001,0.02826773655844156,1.8390649760214757,2.9386780966469797,96421.06,96555.81,130.0,134.75,0.11029900000000001,0.070637,Median_30_300_r,Median_30_300_l,0.11029900000000001,-0.030299000000000006,0.009362999999999996,-0.030299000000000006
Palezieux - Chatel-St-Denis,4,0.055135,0.05438392163478261,0.37183157671063677,-0.49005113745623374,0.027496001,0.02826126967826087,0.6155199215416322,-0.0891842748981233,0.052771,0.055790513060869566,0.8085818507267215,0.42424096043014803,0.031538000000000004,0.031786791460869566,0.42325955580144714,-0.05782220615062661,0.025996,0.036162086921739126,1.550860032043036,1.4286385198238882,0.022823,0.02632915667826087,2.080430998584697,3.296697768998399,90240.384,90269.134,150.0,28.75,0.055135,0.031538000000000004,Median_30_300_r,Median_10_100_l,0.055135,0.024864999999999998,0.048462,0.024864999999999998
Palezieux - Chatel-St-Denis,5,0.0551075005,0.058633011956,0.8838618237706699,0.7641524766417724,0.032313999999999996,0.035915203996000004,1.206574353673971,1.2609378113209253,0.054049,0.05769611198,0.8356461098119347,0.21760908943084134,0.037782000499999996,0.039281720004,1.7829810937267765,5.539966765650645,0.0341005,0.036721951964,0.6790819009974502,0.2237580313267724,0.019804500000000003,0.023293960012,2.357650875173645,5.684606280396414,90371.941,90434.441,398.0,62.5,0.0551075005,0.037782000499999996,Median_30_300_r,Median_10_100_l,0.0551075005,0.024892499499999998,0.042217999500000006,0.024892499499999998
Palezieux - Chatel-St-Denis,6,0.049437,0.05255640821348315,0.8152293773723728,0.3711062014960591,0.026688,0.02756533341198502,1.0157403260061533,1.2716189688459272,0.052114999999999995,0.05306504122097378,0.6006943544038401,-0.03140230516173137,0.03454,0.03572241955430712,0.7046404795939502,0.39955434348405117,0.022366,0.0223229888164794,1.5591582505948167,3.8817617220800216,0.032388,0.03313997748314607,0.44620101536351126,-0.2915317579902714,90597.691,90664.441,325.0,66.75,0.052114999999999995,0.03454,Median_30_300_r,Median_30_300_l,0.052114999999999995,0.027885000000000007,0.04546,0.027885000000000007
Palezieux - Chatel-St-Denis,7,0.089554,0.09704677500882353,0.7595047329213933,0.3569120348779844,0.0553845,0.056616715542522,0.382441079655744,0.38153557228869506,0.144365,0.1498678891301775,0.4042975454783521,-0.09820067849655523,0.0982355,0.1034763549704142,0.3250690884879747,-0.17130216355612227,0.0307185,0.03250337310876133,0.7738584493536621,0.16574192067772575,0.0254075005,0.02717413443655589,2.880748999595821,10.517935059566042,90767.441,90937.941,100.0,170.5,0.144365,0.0982355,Median_30_300_r,Median_30_300_l,0.144365,-0.06436499999999999,-0.0182355,-0.06436499999999999
Palezieux - Chatel-St-Denis,8,0.0978430005,0.09946573704285713,0.2986862271779344,-0.3982521608836418,0.0536130005,0.05231545285571428,-0.08169527596818699,-0.641068904540695,0.145436,0.1461202826942857,0.15249420298988864,-0.7380142759368691,0.10602349999999999,0.10557215147285715,0.13857782998370466,-0.8493754880848363,0.0251550005,0.028931717138571428,1.129746668215234,0.7106192559072251,0.0294470005,0.03041612714142857,0.5785790117186081,-0.03432317260834861,90990.191,91165.191,150.0,175.0,0.145436,0.10602349999999999,Median_30_300_r,Median_30_300_l,0.145436,-0.06543600000000001,-0.02602349999999999,-0.06543600000000001
Palezieux - Chatel-St-Denis,9,0.044304,0.04801774569686411,0.907374539393633,0.24490518970754138,0.029075999999999998,0.03309974917421603,1.4592364038293983,2.6102645472783657,0.052961999999999995,0.05465691989198606,0.5290647182883068,-0.2030368599825887,0.037870999,0.03906193036585366,0.27509337112934396,-0.5533349995850765,0.028192,0.02850905233101045,0.713188177207468,0.18070521461442945,0.023001,0.024128745710801393,1.0846914681959872,1.239162290421529,91382.941,91454.691,378.0,71.75,0.052961999999999995,0.037870999,Median_30_300_r,Median_30_300_l,0.052961999999999995,0.027038000000000006,0.042129001,0.027038000000000006
Palezieux - Chatel-St-Denis,10,0.067878,0.07045230200784314,0.4044738817765452,-0.4869016573551974,0.022919000000000002,0.025262203925490195,1.776811451011019,5.2966262989779604,0.060114999,0.060846231364705884,0.3297062093510959,-0.519074195853384,0.029308001,0.030653372552941177,0.7150738107876032,0.6349328963604894,0.027665,0.02900375297647059,0.6389470963479614,-0.09192952911603358,0.025955999,0.024764360803921567,0.05191563626943217,-0.9823388815943876,91830.941,91894.691,410.0,63.75,0.067878,0.029308001,Median_30_300_r,Median_10_100_l,0.067878,0.012122000000000008,0.050691999,0.012122000000000008
Palezieux - Chatel-St-Denis,11,0.050047499999999995,0.053009961565934065,1.12051872672291,1.585996580369411,0.037138001000000004,0.039183417535714284,1.3476364816313755,2.8867055704504283,0.0582450005,0.06031339010164836,0.6772904528532141,0.2620285201586845,0.042572999,0.04268926090384616,0.18455604847586551,-0.516660451931608,0.0335935,0.03491282423076923,0.5990933711261467,0.02664176809786989,0.0211490005,0.025903412112637362,2.1925935349396903,4.952694873012502,92057.941,92148.941,290.0,91.0,0.0582450005,0.042572999,Median_30_300_r,Median_30_300_l,0.0582450005,0.021754999500000004,0.037427001,0.021754999500000004
Palezieux - Chatel-St-Denis,12,0.06559899999999999,0.06762555855518394,0.6229813785380851,0.19876197212386115,0.046144,0.047932762515050166,1.9772489361081713,8.184697381582604,0.10234499999999999,0.10441650503344481,0.6699338992537331,0.30193866950834547,0.076831001,0.07714051840133779,0.27059897062498245,-0.044498906702647556,0.027952,0.029251976595317725,1.5331501177734834,3.255704745175053,0.029829999,0.03458513378260869,1.1904497268611496,0.7722529892346186,92205.691,92280.441,169.0,74.75,0.10234499999999999,0.076831001,Median_30_300_r,Median_30_300_l,0.10234499999999999,-0.02234499999999999,0.0031689990000000057,-0.02234499999999999
