,groupe,groupe.1,Median_10_100_l,Mean_10_100_l,Skewness_10_100_l,Kurtosis_10_100_l,Median_10_100_r,Mean_10_100_r,Skewness_10_100_r,Kurtosis_10_100_r,Median_30_300_l,Mean_30_300_l,Skewness_30_300_l,Kurtosis_30_300_l,Median_30_300_r,Mean_30_300_r,Skewness_30_300_r,Kurtosis_30_300_r,Median_300_1000_l,Mean_300_1000_l,Skewness_300_1000_l,Kurtosis_300_1000_l,Median_300_1000_r,Mean_300_1000_r,Skewness_300_1000_r,Kurtosis_300_1000_r,km_debut,km_fin,rayon,length,max_l,max_r,cause_max_r,cause_max_l,max,reserve_usure_l,reserve_usure_r,reserve_usure_min,traverse,acier,profil_rail,trav_list,acier_list,rail_list,coord1,left
10,11,11,0.066936,0.0706740820338164,1.0471247920915918,2.307341604508128,0.0351579999999999,0.0372510627487922,1.0558989029431325,2.124310142409465,0.098324,0.1029029854251207,0.8396566094541089,1.04322950097548,0.070839,0.073823338115942,0.3899525332358915,-0.6198985713404781,0.027783999,0.0352378646859903,1.8429301437363257,2.7977515169162226,0.029771,0.0320367342850241,0.7299467384551345,-0.1259466973303005,92.942441,92.994191,90.0,51.75,0.098324,0.070839,Median_30_300_r,Median_30_300_l,0.098324,-0.0183239999999999,0.009161,-0.0183239999999999,Acier (bêches longues),R 350 HT,46 E1,['Acier (bêches longues)'],['R 350 HT'],['46 E1'],"[Interval(92.91942, 93.26063, closed='both')]",[92.91942]
11,12,12,0.0822484994999999,0.0836656612967741,0.3746151517521092,0.2396705458347785,0.0283505,0.0294662354258064,0.430605146544625,-0.8333905709842737,0.070848,0.0726493128967741,0.4210198396640721,-0.0708270980388401,0.0342914995,0.0340496935096774,0.4487528460559975,-0.4666240087169808,0.027158501,0.0289110709193548,1.07160032952778,0.8530392703044085,0.033947,0.0393184193258064,1.2085229578461865,0.5953422301332929,92.994191,93.071691,250.0,77.5,0.0822484994999999,0.0342914995,Median_30_300_r,Median_10_100_l,0.0822484994999999,-0.0022484994999999,0.0457085005,-0.0022484994999999,Acier (bêches longues),R 350 HT,46 E1,['Acier (bêches longues)'],['R 350 HT'],['46 E1'],"[Interval(92.91942, 93.26063, closed='both')]",[92.91942]
12,13,13,0.0380954995,0.0413650645645161,1.42347614680501,2.7197768351442964,0.0242674999999999,0.0265585847096774,1.3184017295843384,1.8730239694648996,0.0560154999999999,0.0571643105403225,0.4881669379269008,-0.080108500209246,0.0391495005,0.0411717863387096,0.8231415506906284,0.1077249780885343,0.030696,0.0367187016249999,1.370843740861564,0.8373861706047006,0.0226184995,0.0300022257338709,1.7373840187717742,1.6386180532089083,93.13444100000001,93.19644100000001,230.0,62.0,0.0560154999999999,0.0391495005,Median_30_300_r,Median_30_300_l,0.0560154999999999,0.0239845,0.0408504995,0.0239845,Acier (bêches longues),R 350 HT,46 E1,['Acier (bêches longues)'],['R 350 HT'],['46 E1'],"[Interval(92.91942, 93.26063, closed='both')]",[92.91942]
13,14,14,0.0430385,0.0469296370034246,1.2416936415532631,1.9316957843418607,0.0278025,0.0302877003253424,1.174218642949107,1.131082369599001,0.0734779995,0.0772143065102739,0.7364672455097612,0.4439994758579737,0.0563395,0.0585533955462328,0.7580658346487544,0.5324348604328666,0.042479,0.0430191181523972,0.9446763665106072,1.3362628831054462,0.0292505,0.035095409234589,1.1823120009944623,0.397086714191655,93.19644100000001,93.34244100000001,217.0,146.0,0.0734779995,0.0563395,Median_30_300_r,Median_30_300_l,0.0734779995,0.0065220005,0.0236605,0.0065220005,Acier (bêches longues),R 260,46 E1,"['Acier (bêches longues)', 'Acier (bêches longues)']","['R 350 HT', 'R 260']","['46 E1', '46 E1']","[Interval(92.91942, 93.26063, closed='both'), Interval(93.26063, 93.78202, closed='both')]","[92.91942, 93.26063]"
14,15,15,0.047890999,0.0504274551052631,0.6126928959340764,0.001199575777155,0.0262445,0.0266632213467492,0.6165217703789099,0.4171027610480324,0.07951,0.0804785789489164,0.1863449192843159,-0.2714317572723295,0.063365,0.0634047585185758,0.1821758191241468,0.1133920504010554,0.0270229995,0.0348537569829721,2.057135186973023,3.642411089111776,0.0397659999999999,0.0419487198188854,1.926243966359255,4.781039933741189,93.387191,93.548691,197.0,161.5,0.07951,0.063365,Median_30_300_r,Median_30_300_l,0.07951,0.00049,0.0166349999999999,0.00049,Acier (bêches longues),R 260,46 E1,['Acier (bêches longues)'],['R 260'],['46 E1'],"[Interval(93.26063, 93.78202, closed='both')]",[93.26063]
15,16,16,0.0423614995,0.0447669000333333,0.7760526959777981,0.2594689369616754,0.0254740004999999,0.0263419277222222,1.2768746256605268,2.6906422246955755,0.050314,0.0544419500388888,2.169376644574627,7.1026176342671015,0.0366030009999999,0.0378514277611111,1.3744123415549805,4.259877764012257,0.0223065,0.0331381167111111,1.7382888641220329,1.6158852679858606,0.030394499,0.0427357388888888,1.1689571685292557,0.0743802333949554,93.912191,93.95719100000001,395.0,45.0,0.050314,0.0366030009999999,Median_30_300_r,Median_30_300_l,0.050314,0.029686,0.043396999,0.029686,Acier (bêches longues),R 350 HT,46 E1,['Acier (bêches longues)'],['R 350 HT'],['46 E1'],"[Interval(93.91207, 94.44444, closed='both')]",[93.91207]
16,17,17,0.044236,0.0470146680494845,0.9021538968899584,0.8363410533053717,0.027830999,0.0302760783525773,1.426685365972093,2.635530607239403,0.080148,0.0844615443237113,1.3291833400043431,2.3880387537768817,0.062,0.0657702577381443,1.1806104508449882,1.7884977884157784,0.027247,0.0310047278247422,2.0412068190589334,4.419686309188159,0.034854,0.0378524659917525,1.609991448218279,2.905551474966953,94.05569100000001,94.176941,105.0,121.25,0.080148,0.062,Median_30_300_r,Median_30_300_l,0.080148,-0.0001479999999999,0.018,-0.0001479999999999,Acier (bêches longues),R 350 HT,46 E1,['Acier (bêches longues)'],['R 350 HT'],['46 E1'],"[Interval(93.91207, 94.44444, closed='both')]",[93.91207]
17,18,18,0.037020999,0.0387987149195402,0.8425054731224795,0.7577534006421289,0.022871,0.0239723172321839,2.049712529352782,7.861484506369779,0.0600810009999999,0.0622808528252873,0.780947244824593,1.0228358027072575,0.0478269989999999,0.0507379494229885,1.2631156189880848,2.227202039740257,0.027704,0.0358015769931034,1.2620010108309525,0.6821766113839516,0.036187,0.0405152068942528,1.0561014194545606,0.4352952664447493,94.231941,94.340691,230.0,108.75,0.0600810009999999,0.0478269989999999,Median_30_300_r,Median_30_300_l,0.0600810009999999,0.019918999,0.032173001,0.019918999,Acier (bêches longues),R 350 HT,46 E1,['Acier (bêches longues)'],['R 350 HT'],['46 E1'],"[Interval(93.91207, 94.44444, closed='both')]",[93.91207]
18,19,19,0.0367469995,0.0398512573492647,0.8820551192036716,0.3720119716718582,0.0185955,0.0201363125147058,1.0829249950576665,1.1494938613674304,0.0615509999999999,0.0656942205661764,0.9260111819128394,0.9787336986810642,0.0490429999999999,0.0504028234779411,0.6806700537444607,0.8882521006652655,0.0293509995,0.0361941911838235,1.072981980009653,0.022032032994911,0.0288789995,0.0370565661764705,1.3925296078724154,0.8959873616622542,94.41269100000001,94.48069100000001,190.0,68.0,0.0615509999999999,0.0490429999999999,Median_30_300_r,Median_30_300_l,0.0615509999999999,0.018449,0.030957,0.018449,Acier (bêches longues),R 350 HT,46 E1,"['Acier (bêches longues)', 'Acier (bêches longues)']","['R 350 HT', 'R 260']","['46 E1', '46 E1']","[Interval(93.91207, 94.44444, closed='both'), Interval(94.44444, 94.75202, closed='both')]","[93.91207, 94.44444]"
19,20,20,0.0323150009999999,0.0346118530734693,0.9713929376559328,1.3402538218389548,0.021401,0.0230479632367346,1.5760848027314758,3.464009553394256,0.084882,0.0931295592285714,1.3066220783582665,1.7645392785052536,0.066908,0.0725393999836734,1.3135839801360711,2.2582755156859484,0.031277999,0.0344711836530612,1.5201879735793695,2.367901752849134,0.034924,0.0385148816244898,1.7052685498874376,3.806960403969522,94.523691,94.584941,143.0,61.25,0.084882,0.066908,Median_30_300_r,Median_30_300_l,0.084882,-0.0048819999999999,0.013092,-0.0048819999999999,Acier (bêches longues),R 260,46 E1,['Acier (bêches longues)'],['R 260'],['46 E1'],"[Interval(94.44444, 94.75202, closed='both')]",[94.44444]
