ligne,km_db,sect_db,km_fin,sect_fin,longueur,etat,an_d_ref,an_p_ref,typ_voie,typ_rail,an_rail,typ_trav,an_trav,typ_att,typ_bala,d_supers,d_infras,d_geotex,d_draina,p_supers,p_infras,p_draina,remarques,qualite_acier,dur_vie_rest,ac_rail,grave_pss,id,niv_av_acrail,niv_prebalast,niv_voie_ap_2bourr,geometry,km_start,km_end
BB,,,,,33,1.0,2022.0,2055.0,Soudée,CFF IV,2022.0,Béton,2022.0,,CFF Q1,f,f,f,f,f,f,f,,,,f,f,db4273fe-77e6-4491-8567-5403faa23bfc,,,,"MULTILINESTRING ((2570854.3887599832 1162380.704030034, 2570858.072335947 1162373.2691459483, 2570861.9601164637 1162365.938975698, 2570866.0491275447 1162358.7191265568, 2570870.3362412676 1162351.6151214067))",020.18953,020.21953
CM,,,,,97,1.0,2022.0,2055.0,Soudée,CFF IV,2022.0,Béton,2022.0,,CFF Q1,f,f,f,f,f,f,f,,,,f,f,a640f4eb-6aa8-4f46-afe3-2d120f6f1037,,,,"MULTILINESTRING ((2570868.528427662 1162350.6377855982, 2570870.1789916544 1162347.1870140852, 2570872.422679762 1162342.4962204893, 2570890.9608903155 1162303.9530793387, 2570910.3544890466 1162263.6228597679))",020.21953,020.31914
BB,,,,,1404,1.0,2022.0,2055.0,Soudée,CFF IV,2022.0,Béton,2022.0,,CFF Q1,f,f,f,f,f,f,f,,,,f,f,6e94be22-5619-4643-8201-e99fbc3d9090,,,,"MULTILINESTRING ((2572233.25721826 1161426.85375532, 2572246.220386374 1161421.8133777848, 2572259.0157888285 1161416.361148032, 2572271.6303445846 1161410.502640003, 2572284.051157488 1161404.243842988, 2572296.265529451 1161397.591155501, 2572308.2609734363 1161390.55137874, 2572320.0252262214 1161383.1317096327, 2572326.30732521 1161378.95201781, 2572332.5227544997 1161374.67378642, 2572338.6768532996 1161370.3077693002, 2572344.7753949 1161365.86445787, 2572350.82452734 1161361.35409334, 2572356.83072207 1161356.7866916999, 2572362.80072442 1161352.17207114, 2572368.74150547 1161347.51988178, 2572374.66021534 1161342.83963718, 2572380.56413746 1161338.1407472, 2572386.46064366 1161333.43255206, 2572450.62858 1161282.16891, 2572456.43374686 1161277.53357214, 2572462.24593343 1161272.90704154, 2572468.07211933 1161268.29815732, 2572473.91920374 1161263.71582206, 2572479.79396454 1161259.16903271, 2572485.70301686 1161254.66691066, 2572491.6527701393 1161250.2187298923, 2572509.249579632 1161237.6171027168, 2572527.227567609 1161225.5655194134, 2572545.5695467936 1161214.0755015106, 2572564.257981927 1161203.1580336697, 2572583.275006534 1161192.8235531836, 2572602.60244 1161183.08194, 2572609.36827975 1161179.84521778, 2572616.16542158 1161176.67474341, 2572632.4332954185 1161169.3828464015, 2572648.850518656 1161162.433726861, 2572655.18206731 1161159.86289829, 2572661.53728768 1161157.35117611, 2572667.91875816 1161154.90693729, 2572674.32879397 1161152.53864853, 2572680.76941499 1161150.25487514, 2572687.2423099778 1161148.0642800033, 2572700.028840212 1161144.0627857056, 2572712.932537228 1161140.4569688246, 2572725.94116 1161137.25025, 2572733.3084833 1161135.61910138, 2572740.70062759 1161134.10432839, 2572748.11353929 1161132.69461678, 2572755.54365756 1161131.37853242, 2572762.98786165 1161130.14454452, 2572770.44341742 1161128.98104525, 2572777.9079231 1161127.87636647, 2572785.37925463 1161126.8187938, 2572792.85551047 1161125.79657849, 2572800.33495623 1161124.79794752, 2572807.81596906 1161123.81111248, 2572852.34686 1161117.94856, 2572859.2876292 1161117.03632962, 2572866.22959625 1161116.13326783, 2572873.17392266 1161115.24854789, 2572880.12169723 1161114.39135227, 2572887.07389965 1161113.57087656, 2572894.03136395 1161112.79633276, 2572900.99474193 1161112.07695157, 2572907.9644664 1161111.42198352, 2572914.94071441 1161110.84069855, 2572921.9233700484 1161110.3423799942, 2572936.089043842 1161109.6123721956, 2572950.26918 1161109.26171, 2572958.60296468 1161109.23074171, 2572966.9363478 1161109.31949882, 2572975.26788356 1161109.51664922, 2572983.59656807 1161109.81084962, 2572991.92179319 1161110.19075486, 2573000.2432997683 1161110.6450299835, 2573031.376066727 1161112.9133167767, 2573062.4319364084 1161116.064072534, 2573093.3859 1161120.09476, 2573099.07420331 1161120.93475978, 2573104.75634053 1161121.8154608998, 2573110.43022801 1161122.74778168, 2573116.09348363 1161123.74258796, 2573121.7433645 1161124.81067602, 2573127.37670532 1161125.9627518, 2573132.98985782 1161127.20940624, 2573138.57863147 1161128.56108591, 2573147.86693785 1161131.0780611753, 2573157.062564253 1161133.9150058283, 2573166.154491751 1161137.0685204181, 2573175.1318256785 1161140.534826154, 2573183.983808684 1161144.3097694344, 2573192.6998336217 1161148.388826824, 2573201.2694562613 1161152.7671104735, 2573209.6824078034 1161157.4393739772, 2573217.9286071844 1161162.4000186601, 2573225.9981731563 1161167.643100285, 2573233.881436127 1161173.1623361772, 2573241.5689497474 1161178.9511127518, 2573249.0515022315 1161185.0024934392, 2573256.320127393 1161191.3092269965, 2573263.3661153903 1161197.8637561968, 2573270.181023164 1161204.6582268854, 2573274.48063162 1161209.19412397, 2573278.68587236 1161213.81767198, 2573282.80376997 1161218.51920296, 2573286.84182167 1161223.28950886, 2573290.8079343997 1161228.11981036, 2573294.71036883 1161233.00171861, 2573298.55768705 1161237.92719344, 2573302.35870328 1161242.88849868, 2573306.12243749 1161247.8781549998, 2573309.85807129 1161252.88889089, 2573313.57490585 1161257.91359194, 2573317.28232118 1161262.94524913, 2573374.98346 1161341.30775, 2573375.7088438096 1161342.2929471196, 2573377.65302613 1161344.93037564, 2573380.33073528 1161348.54698407, 2573383.02468973 1161352.15150319, 2573385.74290968 1161355.7377516, 2573388.49329071 1161359.29938511, 2573391.28355934 1161362.82984465, 2573394.12122628 1161366.32230616, 2573397.01353673 1161369.76963292, 2573399.9674172 1161373.16433099, 2573402.989460027 1161376.4984700282, 2573407.636504328 1161381.3488456584, 2573412.4438100723 1161386.040431315, 2573417.4059544783 1161390.5679347534, 2573422.5173401036 1161394.9262488175, 2573427.7722011562 1161399.1104572027, 2573433.16461 1161403.1158399999))",020.87953,020.85953
BB,,,,,68,1.0,2022.0,2055.0,Soudée,CFF IV,2022.0,Béton,2022.0,,CFF Q1,f,f,f,f,f,f,f,,,,f,f,a816188f-89a1-4647-ad76-98a53130ce12,,,,"MULTILINESTRING ((2572168.36622644 1161446.7903561, 2572175.64942004 1161444.81820705, 2572182.92319799 1161442.81162676, 2572190.18416857 1161440.7592081998, 2572197.42872378 1161438.64960694, 2572204.65298622 1161436.47156002, 2572211.85275659 1161434.21390691, 2572219.02346213 1161431.86561297, 2572226.16010602 1161429.41579588, 2572233.25721826 1161426.85375532))",020.87953,020.87953
BB,,,,,1624,1.0,2022.0,2055.0,Soudée,CFF IV,2022.0,Béton,2022.0,,CFF Q1,f,f,f,f,f,f,f,,,,f,f,c12d63fb-942f-4f31-b99c-3137e283da6d,,,,"MULTILINESTRING ((2570870.3362412676 1162351.6151214067, 2570872.4479366485 1162348.2722947055, 2570874.62976984 1162344.91978114, 2570876.86164534 1162341.60038273, 2570879.14852633 1162338.31864914, 2570881.4951800024 1162335.079400002, 2570885.6124997027 1162329.7035507448, 2570889.909444038 1162324.4701631104, 2570894.3810874126 1162319.3852361415, 2570899.0223039733 1162314.4545986992, 2570903.827773485 1162309.6839027833, 2570908.7919874284 1162305.078617051, 2570911.60628787 1162302.60034131, 2570914.46087358 1162300.16855835, 2570917.3493808 1162297.77715055, 2570920.26572002 1162295.41975049, 2570923.20403676 1162293.08979002, 2570926.15866733 1162290.78054386, 2570929.1240927004 1162288.48517074, 2570932.09489107 1162286.19675309, 2570958.14413 1162266.14713, 2570992.337198506 1162239.8293525758, 2571230.9240900003 1162056.1934, 2571236.01721928 1162052.27082844, 2571241.10313382 1162048.33890987, 2571246.17456744 1162044.38833715, 2571251.22415146 1162040.40988326, 2571256.24436436 1162036.3944426, 2571261.22748257 1162032.33307364, 2571266.16553282 1162028.21704335, 2571276.2321800725 1162019.4888722938, 2571286.0626925942 1162010.495575877, 2571295.65009 1162001.24354, 2571300.18825581 1161996.69039994, 2571304.67597718 1161992.08751718, 2571309.12124478 1161987.4436088002, 2571313.53227917 1161982.76716169, 2571317.91748224 1161978.06647604, 2571322.2853904 1161973.34971058, 2571326.64462898 1161968.62492906, 2571610.1349 1161661.17384, 2571614.37303861 1161656.58041121, 2571618.61971287 1161651.99487502, 2571622.88341428 1161647.42517158, 2571627.1725457 1161642.87933574, 2571631.4953758 1161638.36554337, 2571635.85999242 1161633.89215642, 2571640.27425404 1161629.46776626, 2571644.74573927 1161625.10123491, 2571649.28169381 1161620.80173348, 2571653.88897469 1161616.57877762, 2571658.57399142 1161612.44225898, 2571663.3426499804 1161608.4024800193, 2571670.5925211133 1161602.5947898414, 2571678.0310510085 1161597.0307832232, 2571685.6500525484 1161591.7165841132, 2571693.4411399825 1161586.6580415124, 2571701.395738156 1161581.8607230375, 2571709.5050919475 1161577.329908792, 2571717.7602759073 1161573.070585555, 2571726.152204079 1161569.087441293, 2571734.6716400003 1161565.38486, 2571740.46970199 1161563.05199073, 2571746.31429838 1161560.83822856, 2571752.19907627 1161558.7335518, 2571758.11827728 1161556.72767611, 2571764.06668442 1161554.8100968, 2571770.03956679 1161552.97012617, 2571776.03262218 1161551.19692628, 2571782.04191836 1161549.47953791, 2571788.06383303 1161547.80690608, 2571794.09499285 1161546.16790261, 2571800.13221178 1161544.5513465, 2571806.17242896 1161542.94602248, 2572153.7844 1161450.6772, 2572161.07684627 1161448.73952638, 2572168.36622644 1161446.7903561))",020.21953,020.87953
CM,,,,,26,1.0,2022.0,2055.0,Soudée,CFF IV,2022.0,Béton,2022.0,,CFF Q1,f,f,f,f,f,f,f,,,,f,f,9be31279-8f16-4805-a5a3-f5046af8dcf2,,,,"MULTILINESTRING ((2571872.98654016 1159308.07767011, 2571887.799686 1159286.41797727))",023.77953,023.80953
CM,,,,,26,1.0,2022.0,2055.0,Soudée,CFF IV,2022.0,Béton,2022.0,,CFF Q1,f,f,f,f,f,f,f,,,,f,f,45443af1-2c20-4e9c-a21a-ebb04daed332,,,,"MULTILINESTRING ((2572012.994094535 1159105.7925526681, 2572017.278617417 1159098.1766479176, 2572021.8266847706 1159090.7151316614, 2572026.632740012 1159083.4171199794))",024.02953,024.04953
CM,,,,,26,1.0,2022.0,2055.0,Soudée,CFF IV,2022.0,Béton,2022.0,,CFF Q1,f,f,f,f,f,f,f,,,,f,f,5fa5cf14-5a29-4849-987f-4515c2947f66,,,,"MULTILINESTRING ((2571913.7903699777 1159255.8546200276, 2571908.732089261 1159262.9801903719, 2571903.4278717246 1159269.9246293602, 2571897.8841978456 1159276.67945256))",023.84953,023.81953
CM,,,,,26,1.0,2022.0,2055.0,Soudée,CFF IV,2022.0,Béton,2022.0,,CFF Q1,f,f,f,f,f,f,f,,,,f,f,f96b2674-6d11-481f-9d36-e265d82b5ec1,,,,"MULTILINESTRING ((2571872.986540009 1159308.077669986, 2571878.0448218323 1159300.952100452, 2571883.349040446 1159294.0076623117, 2571888.8927153717 1159287.2528399965))",023.77953,023.80953
CM,,,,,3,1.0,2019.0,2052.0,Soudée,CFF I,2019.0,Béton,2019.0,,CFF Q1,,,,,,,,,R 260,%,,,4393b80f-7bf9-40f2-84bc-280dd015bfe7,,,,"MULTILINESTRING ((2569824.56903018 1148377.5415998998, 2569826.2195799993 1148380.563500003))",036.59256,036.58257
