km_start,km_end,typ_trav,typ_rail,qualite_acier,rayon,groupe,element_standard,frequence,reserve_usure_min,annee,km_a_meuler,longueur,bin
29.199787,29.221037,Acier (bêches courtes),UST 36,R 260,524.0,35,3124E111,0.14,0.003657,0.3265178571428571,0.021249999999998437,0.021249999999998437,0
29.261481,29.262481,Bois,UST 36,R 260,500.0,110,3123E111,0.14,0.000833,0.07437499999999998,0.0010000000000012221,0.0010000000000012221,0
29.89792,29.953419999999998,Acier (bêches courtes),UST 36,R 260,300.0,134,3134E111,0.14,0.0032589999999999,0.29098214285713386,0.05549999999999855,0.05549999999999855,0
30.023919999999997,30.077669999999998,Acier (bêches courtes),UST 36,R 260,335.0,135,3124E111,0.14,0.0089489999999999,0.7990178571428481,0.05375000000000085,0.05375000000000085,0
30.16792,30.23142,Béton,46 E1,,165.0,136,31312F11,0.14,0.026817,2.3943749999999997,0.0,0.06350000000000122,2
30.364169999999998,30.41492,Béton,46 E1,,210.0,137,31312F11,0.14,0.0277569999999999,2.478303571428562,0.0,0.05075000000000074,2
30.45517,30.536669999999997,Béton,46 E1,,178.0,138,31312F11,0.14,0.0345935,3.0887053571428567,0.0,0.08149999999999835,3
30.578169999999997,30.648419999999998,Béton,46 E1,,175.0,139,31312F11,0.14,0.024469,2.1847321428571425,0.0,0.07025000000000148,2
30.74992,30.8061,Béton,46 E1,,188.0,140,31312F11,0.14,0.000958,0.08553571428571427,0.05618000000000123,0.05618000000000123,0
30.8061,30.806169999999998,Acier (bêches courtes),UST 36,R 260,188.0,140,3134E111,0.14,0.000958,0.08553571428571427,6.999999999734996e-05,6.999999999734996e-05,0
30.864169999999998,30.93667,Acier (bêches courtes),UST 36,R 260,125.0,141,3134E111,0.14,-0.0125284999999999,-1.1186160714285625,0.07250000000000156,0.07250000000000156,-2
31.40317,31.43271,Acier (bêches courtes),UST 36,R 260,400.0,142,3124E111,0.14,0.007764,0.6932142857142857,0.029540000000000788,0.029540000000000788,0
31.43271,31.445919999999997,Bois,UST 36,R 260,400.0,142,3123E111,0.14,0.007764,0.6932142857142857,0.01320999999999728,0.01320999999999728,0
31.515919999999998,31.579919999999998,Acier (bêches courtes),UST 36,R 260,514.0,143,3124E111,0.14,0.0222065,1.982723214285714,0.0,0.06400000000000006,1
31.622419999999998,31.73942,Acier (bêches courtes),UST 36,R 260,314.0,144,3124E111,0.14,0.028800999,2.5715177678571424,0.0,0.11700000000000088,2
31.73942,31.80267,Acier (bêches courtes),UST 36,R 260,313.0,145,3124E111,0.14,0.0261400004999999,2.3339286160714194,0.0,0.06325000000000003,2
32.09192,32.232169999999996,Acier (bêches courtes),UST 36,R 260,120.0,146,3144E111,0.14,0.0036159999999999,0.3228571428571339,0.14024999999999466,0.14024999999999466,0
32.273669999999996,32.35942,Acier (bêches courtes),UST 36,R 260,131.0,147,3134E111,0.14,0.019058,1.7016071428571424,0.0,0.08575000000000443,1
32.56342,32.61342,Bois,46 E1,R 260,216.0,148,31332111,0.133,0.0366860009999999,3.4479324248120204,0.0,0.04999999999999716,3
32.61342,32.63432,Bois,46 E1,R 260,225.0,149,31332111,0.133,-0.00457,-0.42951127819548873,0.02090000000000458,0.02090000000000458,-1
32.63432,32.69717,Acier (bêches courtes),UST 36,R 260,225.0,149,3134E111,0.14,-0.00457,-0.4080357142857142,0.06284999999999741,0.06284999999999741,-1
32.729169999999996,32.77317,Acier (bêches courtes),UST 36,R 260,155.0,150,3134E111,0.14,0.0155430009999999,1.3877679464285624,0.0,0.044000000000004036,1
32.77317,32.82642,Acier (bêches courtes),UST 36,R 260,167.0,151,3134E111,0.14,0.022874999,2.0424106249999996,0.0,0.053249999999998465,2
