ligne;km_db;sect_db;km_fin;sect_fin;longueur;etat;an_d_ref;an_p_ref;typ_voie;typ_rail;an_rail;typ_trav;an_trav;typ_att;typ_bala;d_supers;d_infras;d_geotex;d_draina;p_supers;p_infras;p_draina;remarques;qualite_acier;dur_vie_rest;ac_rail;grave_pss;id;niv_av_acrail;niv_prebalast;niv_voie_ap_2bourr
;0;;0;;26;0;0;0;;;0;;0;;;;;;;;;;;;;;;f4943aa1-23f7-486c-b961-b36cb3140f98;0;0;0
CM;0;;0;;26;1;2022;2055;Soudée;CFF IV;2022;Béton;2022;;CFF Q1;f;f;f;f;f;f;f;;;;f;f;18d90b01-c211-43a7-bf0b-23ab91094558;0;0;0
;0;;0;;26;1;2022;2055;Soudée;CFF IV;2022;Béton;2022;;CFF Q1;;;;;;;;;;;;;9a98ed78-9896-4068-baba-b48fbc5802c8;0;0;0
;0;;0;;26;0;0;0;;;0;;0;;;;;;;;;;;;;;;c766255e-ec02-45aa-8ea4-542da557dbd7;0;0;0
;0;;0;;26;0;0;0;;;0;;0;;;;;;;;;;;;;;;15c688e0-c525-49b6-987d-8f46bc3c75c3;0;0;0
;0;;0;;26;0;0;0;;;0;;0;;;;;;;;;;;;;;;9b970744-01aa-4711-81bd-aa4adb05be28;0;0;0
;0;;0;;26;0;0;0;;;0;;0;;;;;;;;;;;;;;;977b48a7-e4f0-49cb-8887-6d79ab49f81b;0;0;0
;0;;0;;26;0;0;0;;;0;;0;;;;;;;;;;;;;;;914451ea-2fd4-44a1-b619-bbd7ab54809d;0;0;0
CM;0;;0;;26;1;2020;2053;Soudée;CFF IV;2019;Béton;2019;;CFF Q1;;;;;;;;;R 350 HT;;;;0775571e-a7e5-4150-a3eb-e8b57577a639;0;0;0
;0;;0;;26;0;0;0;;;0;;0;;;;;;;;;;;;;;;3e5e1f4f-1a17-48a4-a3f4-c72759c00643;0;0;0
;0;;0;;26;0;0;0;;;0;;0;;;;;;;;;;;;;;;acb79134-3ba3-46dd-875b-033e5ba0cbd8;0;0;0
;0;;0;;26;0;0;0;;;0;;0;;;;;;;;;;;;;;;d4fa9782-3d34-43db-ab8a-81df54011ee1;0;0;0
;0;;0;;26;0;0;0;;;0;;0;;;;;;;;;;;;;;;9bd20573-259a-4705-ae77-fd272d9b3f93;0;0;0
CM;0;;0;;26;1;2020;2053;Soudée;CFF IV;2019;Béton;2019;;CFF Q1;;;;;;;;;R 350 HT;;;;03345d59-85f0-4f4d-bf49-ae70e17de528;0;0;0
BR;0;;0;;26;1;2019;2052;Soudée;CFF IV;2019;Béton;2019;;CFF Q1;;;;;;;;;R 350 HT;;;;b550cd69-df0f-41c0-80e6-c0e9f396b526;0;0;0
BR;0;;0;;26;1;2019;2052;Soudée;CFF IV;2019;Béton;2019;;CFF Q1;;;;;;;;;R 350 HT;;;;ff7b1005-83ed-47fa-b04d-78b06ff58a84;0;0;0
CM;0;Montbovon;0;Montbovon;26;1;2018;2051;Soudée;CFF IV;2018;Béton;2018;Ws;CFF Q1;t;t;f;t;t;f;f;;R 350 HT;94%;t;;072ce084-8746-471d-8407-cdd3b53049a3;0;0;0
BR;0;;0;;26;1;2019;2052;Soudée;CFF IV;2019;Béton;2019;;CFF Q1;;;;;;;;;R 350 HT;;;;cc9785e4-e04c-4061-8760-712fed55ef80;0;0;0
BR;0;;0;;26;1;2019;2052;Soudée;CFF IV;2019;Béton;2019;;CFF Q1;;;;;;;;;R 350 HT;;;;33169b88-0769-4ffb-9b7c-eac63f26751f;0;0;0
CM;0;Montbovon;0;Montbovon;26;1;2018;2051;Soudée;CFF IV;2018;Béton;2018;Ws;CFF Q1;t;t;f;t;t;f;f;;R 350 HT;94%;t;;1c4e7c9a-4d00-4d30-a661-7a710aab1e58;0;0;0
CM;0;Montbovon;0;Montbovon;26;1;2018;2051;Soudée;CFF IV;2018;Béton;2018;Ws;CFF Q1;t;t;f;t;t;f;f;;R 350 HT;94%;t;;47424d59-109f-4d7c-b73a-48382a630f4c;0;0;0
FMA;0;G7;0;G7;26;1;2018;2051;Soudée;CFF IV;2018;Bois;2018;Ke;CFF Q1;t;t;f;t;t;f;f;;R 350 HT;94%;t;;0148e065-fb3d-4f04-b464-6ff6c1223fe9;0;0;0
FMA;0;G7;0;G7;26;1;2018;2051;Soudée;CFF IV;2018;Bois;2018;Ke;CFF Q1;t;t;f;t;t;f;f;;R 350 HT;94%;t;;ef456d9e-ca01-4d6f-9874-82737e309d08;0;0;0
FMA;0;G7;0;G7;26;1;2017;2050;Soudée;CFF IV;2017;Bois;2017;Ke;CFF Q1;t;t;f;t;t;f;f;;R 350 HT;91%;t;;c560e5a9-192c-4f08-84df-16c66788538c;0;0;0
FMA;0;G7;0;G7;26;1;2017;2050;Soudée;CFF IV;2017;Bois;2017;Ke;CFF Q1;t;t;f;t;t;f;f;;R 350 HT;91%;t;;44275b29-87b6-4a6e-850d-c8f1f5d59add;0;0;0
FMA;0;G7;0;G7;26;1;2017;2050;Soudée;CFF IV;2017;Bois;2017;Ke;CFF Q1;t;t;f;t;t;f;f;;R 350 HT;91%;t;;b0662588-227d-4fd4-9890-bb555c8e7592;0;0;0
FMA;0;G7;0;G7;26;1;2017;2050;Soudée;CFF IV;2017;Bois;2017;Ke;CFF Q1;t;t;f;t;t;f;f;;R 350 HT;91%;t;;2c48a56d-8c9f-4787-b70d-04f545f8f44b;0;0;0
FMA;0;G7;0;G7;26;1;2018;2051;Soudée;CFF IV;2018;Bois;2018;Ke;CFF Q1;t;t;f;t;t;f;f;;R 350 HT;94%;t;;ab6aecd0-38a1-479a-9644-bac27c7fa548;0;0;0
FMA;0;G7;0;G7;26;1;2018;2051;Soudée;CFF IV;2018;Bois;2018;Ke;CFF Q1;t;t;f;t;t;f;f;;R 350 HT;94%;t;;8c19ca75-56cc-4eed-8344-7fc26e88b013;0;0;0
FMA;0;G7;0;G7;26;1;2018;2051;Soudée;CFF IV;2018;Bois;2018;Ke;CFF Q1;t;t;f;t;t;f;f;;R 350 HT;94%;t;;6b043310-5e66-4fa7-bb92-da6fdd629c45;0;0;0
FMA;0;G7;0;G7;26;1;2018;2051;Soudée;CFF IV;2018;Bois;2018;Ke;CFF Q1;t;t;f;t;t;f;f;;R 350 HT;94%;t;;37519d43-04dd-466e-9d65-ade8ea32096f;0;0;0
;0;;0;;26;1;2022;2055;Soudée;CFF IV;2022;Béton;2022;;CFF Q1;;;;;;;;;;;;;93baed29-03bf-49cb-9a8a-420f606846f7;0;0;0
;0;;0;;26;1;2022;2055;Soudée;CFF IV;2022;Béton;2022;;CFF Q1;;;;;;;;;;;;;a11ebfea-ce8e-4ca0-9f2b-764a793c309c;0;0;0
;0;;0;;26;1;2022;2055;Soudée;CFF IV;2022;Béton;2022;;CFF Q1;;;;;;;;;;;;;cd88b697-b0c9-47f5-8d26-9718056ae869;0;0;0
CM;0;;0;;26;1;2022;2055;Soudée;CFF IV;2022;Béton;2022;;CFF Q1;f;f;f;f;f;f;f;;;;f;f;91bf6299-22ac-4337-a965-1713c3badbdd;0;0;0
FMA;0;G7;0;G7;27;1;2018;2051;Soudée;CFF IV;2018;Bois;2018;Ke;CFF Q1;t;t;f;t;t;f;f;;R 350 HT;94%;t;;b1c02402-89b3-4b0c-bc89-09ab9057db74;0;0;0
CM;0;;0;;27;1;2020;2053;Soudée;CFF IV;2019;Béton;2019;;CFF Q1;;;;;;;;;R 350 HT;;;;0bd7a426-4ac3-4fec-a815-4f1ad4f0c2d9;0;0;0
CM;0;;0;;27;1;2020;2053;Soudée;CFF IV;2019;Béton;2019;;CFF Q1;;;;;;;;;R 350 HT;;;;aea6f40f-f10a-460c-b659-69ca32f99316;0;0;0
CM;0;Montbovon;0;Montbovon;27;1;2018;2051;Soudée;CFF IV;2018;;2018;Ws;CFF Q1;t;t;f;t;t;f;f;;R 350 HT;94%;t;f;10d892a6-5fdb-415e-b053-db7fdb6ead39;0;0;0
CM;0;Montbovon;0;Montbovon;27;1;2018;2051;Soudée;CFF IV;2018;Béton;2018;Ws;CFF Q1;t;t;f;t;t;f;f;;R 350 HT;94%;t;;327b49ab-a327-4311-82ae-50b6527c1224;0;0;0
CM;0;Montbovon;0;Montbovon;27;1;2018;2051;Soudée;CFF IV;2018;Béton;2018;Ws;CFF Q1;t;t;f;t;t;f;f;;R 350 HT;94%;t;;de3b0828-b6ed-44a5-a44c-ae27f5cb9472;0;0;0
CM;0;Montbovon;0;Montbovon;27;1;2018;2051;Soudée;CFF IV;2018;Béton;2018;Ws;CFF Q1;t;t;f;t;t;f;f;;R 350 HT;94%;t;;f884867e-d231-4417-8545-fffa6b2e83a9;0;0;0
CM;0;Montbovon;0;Montbovon;27;1;2018;2051;Soudée;CFF IV;2018;Béton;2018;Ws;CFF Q1;t;t;f;t;t;f;f;;R 350 HT;94%;t;;07dbeb15-f68f-481b-9661-b8fa1ab0b367;0;0;0
CM;0;Montbovon;0;Montbovon;27;1;2018;2051;Soudée;CFF IV;2018;Béton;2018;Ws;CFF Q1;t;t;f;t;t;f;f;;R 350 HT;94%;t;;837b896f-98ba-4836-af82-5397038b6af0;0;0;0
FMA;0;G7;0;G7;27;1;2018;2051;Soudée;CFF IV;2018;Bois;2018;Ke;CFF Q1;t;t;f;t;t;f;f;;R 350 HT;94%;t;;2b271d19-7448-4847-a881-b905584aec41;0;0;0
FMA;0;G7;0;G7;27;1;2018;2051;Soudée;CFF IV;2018;Bois;2018;Ke;CFF Q1;t;t;f;t;t;f;f;;R 350 HT;94%;t;;a2cd2077-de8a-4432-ae7b-d1bdc2bc9d08;0;0;0
FMA;0;G7;0;G7;27;1;2018;2051;Soudée;CFF IV;2018;Bois;2018;Ke;CFF Q1;t;t;f;t;t;f;f;;R 350 HT;94%;t;;aa77868d-1213-4da2-9960-de70f875db7a;0;0;0
FMA;0;G7;0;G7;27;1;2018;2051;Soudée;CFF IV;2018;Bois;2018;Ke;CFF Q1;t;t;f;t;t;f;f;;R 350 HT;94%;t;;1a80c86b-6893-444a-aef9-76a1fe7c2928;0;0;0
FMA;0;G7;0;G7;27;1;2018;2051;Soudée;CFF IV;2018;Bois;2018;Ke;CFF Q1;t;t;f;t;t;f;f;;R 350 HT;94%;t;;52678762-ae40-47d3-9e9a-18ad02d5df0e;0;0;0
BR;0;;0;;28;1;2019;2052;Soudée;CFF IV;2019;Béton;2019;;CFF Q1;;;;;;;;;R 350 HT;;;;59e602b6-374d-487e-b741-cbfa38bbb762;0;0;0
CM;0;Montbovon;0;Montbovon;29;1;2018;2051;Soudée;CFF IV;2018;Béton;2018;Ws;CFF Q1;t;t;f;t;t;f;f;;R 350 HT;94%;t;;f46ea50b-a572-411f-b187-64fb7c429c23;0;0;0
FMA;12.543;PN Moulin;12.572;PN Moulin;29;1;2018;2051;Soudée;CFF I;2018;Bois;2018;Ke;CFF Q1;t;t;f;t;t;f;f;;R 350 HT;94%;t;f;84ebbd8a-85ba-443a-8c02-dca5f6f9fc8d;0;0;0
FMA;12.775;;12.805;AV 101;30;1;2018;2051;Soudée;CFF IV;2018;Acier (bêches longues);2018;Aek;CFF Q1;t;t;f;t;t;f;f;;R 350 HT;94%;t;f;369dbf5a-0c4f-4527-8ea9-dcdb6c2b4a71;0;0;0
FMA;5.765;Entrée Belfaux-Village;5.796;Sortie Belfaux-Village;30;1;2015;2048;Soudée;CFF IV;2015;Bois;2015;Ke;CFF Q1;t;t;f;t;t;f;f;Voie 1;R 260;85%;t;f;1cfbb143-2464-4ab9-b316-67564bfab433;0;0;0
FMA;12.838;;12.87;;31;1;2018;2051;Soudée;CFF IV;2018;Acier (bêches longues);2018;Aek;CFF Q1;t;t;f;t;t;f;f;;R 350 HT;94%;t;f;79561715-b534-4c2d-8fec-30e7d45d0db0;0;0;0
CM;0;Montbovon;0;Montbovon;32;1;2018;2051;Soudée;CFF IV;2018;Béton;2018;Ws;CFF Q1;t;t;f;t;t;f;f;;R 350 HT;94%;t;;42060985-b8a4-45b1-a6dc-e2ae2a77d737;0;0;0
CM;0;Montbovon;0;Montbovon;32;1;2018;2051;Soudée;CFF IV;2018;Béton;2018;Ws;CFF Q1;t;t;f;t;t;f;f;;R 350 HT;94%;t;;b151d0bf-da0e-4d3a-9f0c-cdf21853cb92;0;0;0
CM;0;Montbovon;0;Montbovon;32;1;2018;2051;Soudée;CFF IV;2018;Béton;2018;Ws;CFF Q1;t;t;f;t;t;f;f;;R 350 HT;94%;t;;9a7215af-759a-4ae0-b189-24e880275eb9;0;0;0
CM;0;Montbovon;0;Montbovon;32;1;2018;2051;Soudée;CFF IV;2018;Béton;2018;Ws;CFF Q1;t;t;f;t;t;f;f;;R 350 HT;94%;t;;f8fb05be-2f9c-46c6-aa0f-86e0d8d57f2f;0;0;0
BB;0;;0;;33;1;2022;2055;Soudée;CFF IV;2022;Béton;2022;;CFF Q1;f;f;f;f;f;f;f;;;;f;f;db4273fe-77e6-4491-8567-5403faa23bfc;0;0;0
BB;0;;0;;33;1;2023;2056;Soudée;CFF IV;2023;Béton;2023;;CFF Q1;f;f;f;f;f;f;f;;R 350 HT;;f;f;74162620-ff6a-4f93-a4bc-fa9b7a75f350;0;0;0
;0;;0;;33;1;2022;2055;Soudée;CFF IV;2022;Béton;2022;;CFF Q1;;;;;;;;;;;;;1e8e9936-226c-4437-a965-bd212c47b03f;0;0;0
BB;0;;0;;33;1;2023;2056;Soudée;CFF IV;2023;Béton;2023;;CFF Q1;f;f;f;f;f;f;f;;R 350 HT;;f;f;deaa2b1c-9be8-4817-89b5-0663d905dfca;0;0;0
;0;;0;;33;1;2022;2055;Soudée;CFF IV;2022;Béton;2022;;CFF Q1;;;;;;;;;;;;;8ccd078b-ea9d-41b8-bfaf-1e6f792fdf9b;0;0;0
BR;0;;0;;33;1;2019;2052;Soudée;CFF IV;2019;Béton;2019;;CFF Q1;;;;;;;;;R 350 HT;;;;70276421-eeff-4499-b914-973aaa362f3e;0;0;0
BR;0;;0;;33;1;2019;2052;Soudée;CFF IV;2019;Béton;2019;;CFF Q1;;;;;;;;;R 350 HT;;;;f96b9dcf-efad-4c83-95e5-dce59bb82fd4;0;0;0
BR;0;;0;;33;1;2020;2053;Soudée;CFF IV;2019;Béton;2019;;CFF Q1;f;f;f;f;f;f;f;;R 350 HT;;f;f;e5f1b9b1-4b67-4ed7-afa6-dd96395ff984;0;0;0
BR;0;;0;;33;1;2020;2053;Soudée;CFF IV;2019;Béton;2019;;CFF Q1;f;f;f;f;f;f;f;;R 350 HT;;f;f;075d0edc-c45f-4609-af45-12cfcb5f5186;0;0;0
BR;0;;0;;33;1;2020;2053;Soudée;CFF IV;2019;Béton;2019;;CFF Q1;f;f;f;f;f;f;f;;R 350 HT;;f;f;2befd1d9-04dc-46e6-a770-dd0f1585d1d4;0;0;0
BR;0;;0;;33;1;2020;2053;Soudée;CFF IV;2019;Béton;2019;;CFF Q1;f;f;f;f;f;f;f;;R 350 HT;;f;f;f168893e-e830-4065-b1a9-36e7b66372cc;0;0;0
BR;0;;0;;33;1;2020;2053;Soudée;CFF IV;2019;Béton;2019;;CFF Q1;f;f;f;f;f;f;f;;R 350 HT;;f;f;f6d9a9d3-50aa-4fb6-b535-0906b1fb3f6c;0;0;0
BR;0;;0;;33;1;2020;2053;Soudée;CFF IV;2019;Béton;2019;;CFF Q1;f;f;f;f;f;f;f;;R 350 HT;;f;f;3084ec57-f9f5-47c9-ba79-d38992a17079;0;0;0
BR;0;;0;;33;1;2020;2053;Soudée;CFF IV;2019;Béton;2019;;CFF Q1;f;f;f;f;f;f;f;;R 350 HT;;f;f;948a70ab-77f7-41ea-a972-a9a3f0e58ec1;0;0;0
CM;0;Montbovon;0;Montbovon;33;1;2018;2051;Soudée;CFF IV;2018;Béton;2018;Ws;CFF Q1;t;t;f;t;t;f;f;;R 350 HT;94%;t;;8a301f34-aa82-49ab-890b-ef9a602ecfc5;0;0;0
FMA;0;G7;0;G7;33;1;2017;2050;Soudée;CFF IV;2011;Bois;2011;Ke;CFF Q1;t;t;f;t;t;f;f;TJD;R 350 HT;91%;t;;d638ad86-0f06-42a2-b961-fa2c6f10b595;0;0;0
FMA;0;G7;0;G7;33;1;2017;2050;Soudée;CFF IV;2011;Bois;2011;Ke;CFF Q1;t;t;f;t;t;f;f;TJD;R 350 HT;91%;t;;8e298c1b-1c23-4d91-b988-22a673693ec3;0;0;0
FMA;0;;0;;33;1;2018;2051;Soudée;CFF IV;2018;Bois;2018;Ke;CFF Q1;t;t;f;t;t;f;f;;R 350 HT;94%;t;f;b689b561-df13-4465-a195-1d7ccd10a5e6;0;0;0
FMA;12.805;AV 101;12.838;AV 101;33;1;2018;2051;Soudée;CFF IV;2018;Bois;2018;Ke;CFF Q1;t;t;f;t;t;f;f;;R 350 HT;94%;t;f;84dc6a2c-ec38-4616-9d53-bf649c0c1321;0;0;0
FMA;0;G7;0;G7;33;1;2018;2051;Soudée;CFF IV;2018;Bois;2018;Ke;CFF Q1;t;t;f;t;t;f;f;;R 350 HT;94%;t;;20602a0a-4ed2-4b4a-8dd5-479383d6a1af;0;0;0
;0;;0;;33;1;2022;2055;Soudée;CFF IV;2022;Béton;2022;;CFF Q1;f;f;f;f;f;f;f;;;;f;f;8efc9185-86cf-43f5-8395-f3ac624bca47;0;0;0
FMA;0;G7;0;G7;33;1;2018;2051;Soudée;CFF IV;2018;Bois;2018;Ke;CFF Q1;t;t;f;t;t;f;f;;R 350 HT;94%;t;;e432d967-0228-4bf7-95d7-a244e84b19f2;0;0;0
FMA;21.957;;21.99;;33;1;2017;2050;Soudée;CFF IV;2017;Bois;2017;Ke;CFF Q1;t;t;f;t;t;f;f;;R 260;91%;t;f;7d3fc753-adb2-4cfb-95c2-076766d595b1;0;0;0
;0;;0;;33;1;2022;2055;Soudée;CFF IV;2022;Béton;2022;;CFF Q1;;;;;;;;;;;;;b55c7c2c-d4c9-4250-96f9-9908b667f373;0;0;0
CM;0;Montbovon;0;Montbovon;34;1;2018;2051;Soudée;CFF IV;2018;Béton;2018;Ws;CFF Q1;t;t;f;t;t;f;f;Voie 224;R 350 HT;94%;t;;7e4b48d4-805e-4b06-8cb8-6502ee56a501;0;0;0
BR;0;;0;;35;1;2020;2053;Soudée;CFF IV;2019;Béton;2019;;CFF Q1;;;;;;;;;R 350 HT;;;;712210ff-1d12-4be6-9d25-6956f7cab7db;0;0;0
CM;0;;0;;35;1;2020;2053;Soudée;CFF IV;2019;Béton;2019;;CFF Q1;;;;;;;;;R 350 HT;;;;61dba6fa-b912-4b32-9870-fb000d60a9a9;0;0;0
CM;0;;0;;37;1;2020;2053;Soudée;CFF IV;2019;Béton;2019;;CFF Q1;;;;;;;;;R 350 HT;;;;38cd3488-beb0-4ae9-b3d0-642a89e89c1b;0;0;0
;0;;0;;37;0;0;0;;;0;;0;;;;;;;;;;;;;;;8803304d-1d62-445a-a775-00b3a585e100;0;0;0
CM;0;;0;;37;1;2020;2053;Soudée;CFF IV;2019;Béton;2019;;CFF Q1;;;;;;;;;R 350 HT;;;;16f36c2a-f185-4896-a6ec-8390192aab28;0;0;0
BR;0;;0;;37;1;2020;2053;Soudée;CFF IV;2019;Béton;2019;;CFF Q1;;;;;;;;;R 350 HT;;;;9e869eaa-67cf-4be8-a1fc-77646a2a1039;0;0;0
CM;16.411;Vuadens;16.449;Vuadens;38;1;2020;2053;Soudée;CFF I;2020;Béton;2020;Ws;CFF Q1;t;t;f;t;t;f;f;;R 350 HT;;t;t;956c609a-35ee-4d2e-a158-12ebb676dcda;-730;-440;-20
;0;;0;;38;0;0;0;;;0;;0;;;;;;;;;;;;;;;82518c34-cb75-4a21-a521-08b3d8ea2ebc;0;0;0
CM;0;Montbovon;0;Montbovon;40;1;2018;2051;Soudée;CFF IV;2018;Béton;2018;Ws;CFF Q1;t;t;f;t;t;f;f;;R 350 HT;94%;t;;37cc1889-ce93-4d4b-8527-2e15550e1ff5;0;0;0
CM;0;Montbovon;0;Montbovon;40;1;2018;2051;Soudée;CFF IV;2018;Béton;2018;Ws;CFF Q1;t;t;f;t;t;f;f;;R 350 HT;94%;t;;32796e8c-4b58-4209-9e39-e3c10e4d6958;0;0;0
FMA;12.838;AV 101;12.878;;41;1;2018;2051;Soudée;CFF IV;2018;Acier (bêches longues);2018;Aek;CFF Q1;t;t;f;t;t;f;f;;R 350 HT;94%;t;f;32d4dcf6-5b9c-43b5-b806-42114eb70604;0;0;0
BR;0;;0;;42;1;2020;2053;Soudée;CFF IV;2019;Béton;2019;;CFF Q1;;;;;;;;;R 350 HT;;;;7590f3ed-c28b-41ba-9d16-c6e9659db1bb;0;0;0
BR;0;;0;;42;1;2020;2053;Soudée;CFF IV;2019;Béton;2019;;CFF Q1;;;;;;;;;R 350 HT;;;;06d385e3-1210-4956-a7d9-5c0d553085b7;0;0;0
BR;0;;0;;42;1;2020;2053;Soudée;CFF IV;2019;Béton;2019;;CFF Q1;;;;;;;;;R 350 HT;;;;25813c0e-79a9-42c5-928e-12f774f1a480;0;0;0
BR;0;;0;;42;1;2020;2053;Soudée;CFF IV;2019;Béton;2019;;CFF Q1;;;;;;;;;R 350 HT;;;;0bb4e539-6ce9-4262-a5d1-48ec56d06374;0;0;0
BR;0;;0;;42;1;2020;2053;Soudée;CFF IV;2019;Béton;2019;;CFF Q1;;;;;;;;;R 350 HT;;;;712ec3e3-089a-4035-9644-357a94f6828e;0;0;0
BR;0;;0;;42;1;2020;2053;Soudée;CFF IV;2019;Béton;2019;;CFF Q1;;;;;;;;;R 350 HT;;;;a483c0a7-7060-47fe-983c-388b21476384;0;0;0
BR;0;;0;;42;1;2020;2053;Soudée;CFF IV;2019;Béton;2019;;CFF Q1;;;;;;;;;R 350 HT;;;;24c2f7e9-1d52-48da-ac83-92a9c622ce43;0;0;0
BR;0;;0;;42;1;2020;2053;Soudée;CFF IV;2019;Béton;2019;;CFF Q1;;;;;;;;;R 350 HT;;;;4795dd20-1cf7-4485-b0f9-eca0a23e4e53;0;0;0
BR;0;;0;;42;1;2020;2053;Soudée;CFF IV;2019;Béton;2019;;CFF Q1;;;;;;;;;R 350 HT;;;;ecee5375-306d-4be6-9e41-b695ac1efe8e;0;0;0
BR;0;;0;;42;1;2020;2053;Soudée;CFF IV;2019;Béton;2019;;CFF Q1;;;;;;;;;R 350 HT;;;;68ad3c59-5218-48e3-b7b7-17d6180f9904;0;0;0
PC;0;;0;;44;1;2019;2052;Soudée;CFF I;2019;Acier (bêches longues);2014;Aek;CFF Q1;t;t;f;t;t;f;f;;R 350 HT;97%;t;t;67dfb7a8-3fe4-4e54-9c5e-d42f65a6a78d;-710;-410;-10
CM;12.915;Pont d'Amont;12.96;Pont d'Amont;45;1;2011;2044;Soudée;CFF I;2010;Bois;2010;K;CFF Q1;t;t;f;f;t;t;t;Etanchéité de l'auge refaite;R 260;73%;f;f;d92dc7b6-2bc6-4a92-a5b1-b235acadfce4;0;0;0
FMA;0;G7;0;G7;45;1;2017;2050;Soudée;CFF IV;2017;Bois;2017;Ke;CFF Q1;t;t;f;t;t;f;f;;R 350 HT;91%;t;;6881d0b8-b90e-49ad-b1e4-aa765bb1f04c;0;0;0
BR;0;;0;;46;1;2019;2052;Soudée;CFF IV;2019;Béton;2019;;CFF Q1;t;t;f;t;t;f;f;;R 350 HT;;t;t;9ddc7624-4b05-4def-bcef-dca10aa7fe93;0;0;0
CM;0;;0;;48;1;2019;2052;Soudée;CFF I;2019;;2019;;;f;f;f;f;f;f;f;;;;f;f;20e9e1dd-3c4a-430d-af57-3c51c017f172;0;0;0
CM;0;Montbovon;0;Montbovon;49;1;2018;2051;Soudée;CFF IV;2018;;2018;Ws;CFF Q1;t;t;f;t;t;f;f;;R 350 HT;94%;t;f;fef69c28-897b-42ca-b487-7dad12c2277d;0;0;0
CM;0;Montbovon;0;Montbovon;52;1;2018;2051;Soudée;CFF IV;2018;Béton;2018;Ws;CFF Q1;t;t;f;t;t;f;f;Voie 231;R 350 HT;94%;t;;0f98b82c-65b8-4150-8c57-0d4232e30a41;0;0;0
CM;0;Montbovon;0;Montbovon;52;1;2018;2051;Soudée;CFF IV;2018;;2018;Ws;CFF Q1;t;t;f;t;t;f;f;;R 350 HT;94%;t;f;ee65611a-39b5-4300-b942-e08dbda47ba7;0;0;0
PC;0;;0;;53;2;2019;2052;Soudée;CFF I;2010;Bois;2010;Ke;CFF Q1;f;t;f;t;t;f;f;;R 260;97%;t;t;a873f4d8-9283-45c5-889f-58e24181bffe;-710;-410;0
CM;0;;0;;55;1;2019;2052;Soudée;CFF I;2019;Béton;2019;;;;;;;;;;;;;;;98f6a0f1-f174-408c-8b20-b2b63d3aae3d;0;0;0
;0;;0;;57;1;2022;2055;Soudée;CFF IV;2022;Béton;2022;;CFF Q1;;;;;;;;;;;;;4737457a-0ad6-4b1f-80de-a192d6067098;0;0;0
CM;0;;0;;57;1;2019;2052;Soudée;CFF I;2019;Béton;2019;;CFF Q1;;;;;;;;;R 260;%;;;003e1e66-e8f9-4058-84c6-b2e29452dec2;0;0;0
CM;0;Montbovon;0;Montbovon;57;1;2018;2051;Soudée;CFF IV;2018;Béton;2018;Ws;CFF Q1;t;t;f;t;t;f;f;Voie 223;R 350 HT;94%;t;;de9ad4e3-b964-44ad-8655-7b780da23f96;0;0;0
FMA;12.485;Sortie Courtepin;12.543;PN Moulin;58;1;2018;2051;Soudée;CFF I;2018;Acier (bêches longues);2018;Aek;CFF Q1;t;t;f;t;t;f;f;;R 350 HT;94%;t;f;cc204626-a06d-4869-98da-3698c834ed01;0;0;0
FMA;0;G7;0;G7;59;1;2018;2051;Soudée;CFF IV;2018;Bois;2018;Ke;CFF Q1;t;t;f;t;t;f;f;;R 350 HT;94%;t;;3fe68077-6cb6-40e3-b1de-8cec74880dc1;0;0;0
;0;;0;;59;1;2022;2055;Soudée;CFF IV;2022;Béton;2022;;CFF Q1;;;;;;;;;;;;;f2a91a68-e6dd-4455-aeef-6212625692a7;0;0;0
CM;31.42;Pont de Neirivue;31.48;Pont de Neirivue;60;3;1986;2025;Soudée;UST 36;1986;Bois;1986;K;Grandjean - Enney;t;f;f;f;t;f;f;Pont de Neirivue;R 260;-3%;;;7695fb47-5f2b-4f68-93b1-3f869a5f39f4;0;0;0
CM;0;Montbovon;0;Montbovon;60;1;2018;2051;Soudée;CFF IV;2018;Béton;2018;Ws;CFF Q1;t;t;f;t;t;f;f;Voie 232;R 350 HT;94%;t;;d31bf048-ead8-4227-af22-11e3804bd87e;0;0;0
CM;0;Montbovon;0;Montbovon;61;1;2018;2051;Soudée;CFF IV;2018;Béton;2018;Ws;CFF Q1;t;t;f;t;t;f;f;;R 350 HT;94%;t;;f574a481-9e1f-42ec-9b60-a40d0a14f5f2;0;0;0
FMA;12.572;PN Moulin;12.635;;63;1;2018;2051;Soudée;CFF I;2018;Acier (bêches longues);2018;Aek;CFF Q1;t;t;f;t;t;f;f;;R 350 HT;94%;t;f;c5d360c0-1c65-493b-a3eb-2ed9f57c7d0e;0;0;0
FMA;20.729;;20.801;Sortie gare Münchenwiler;63;1;2017;2050;Soudée;CFF IV;2017;Bois;2017;Ke;CFF Q1;t;t;f;t;t;f;f;Voie 2;R 260;91%;t;f;6a4183e2-d9ef-4065-aaef-b20c7ae30083;0;0;0
;0;;0;;64;0;0;0;;;0;;0;;;;;;;;;;;;;;;f59b3b6b-8647-414c-b9c8-5ef0426f2b73;0;0;0
FMA;20.729;;20.801;Sortie gare Münchenwiler;64;1;2017;2050;Soudée;CFF IV;2017;Bois;2017;Ke;CFF Q1;t;t;f;t;t;f;f;Voie 1;R 260;91%;t;f;08bda6a4-1cfb-42b7-b6c6-2792797ba8f7;0;0;0
